id,title,description,availability,condition,price,link,image_link,brand,mpn,product_type,custom_label_0,returnable,return_policy_days,return_policy_info,additional_image_link
LoveForever,Letrero 'Love Forever',Letrero decorativo de mesa con la frase Love Forever y símbolo de infinito.,in stock,new,3.00 USD,https://ideasydtalles.github.io/catalogo/?p=LoveForever,https://i.postimg.cc/LXJWbq98/Love_Forever1.png,Ideas & D'talles,LoveForever,amor,amor,false,0,,"https://i.postimg.cc/LXJWbq98/Love_Forever1.png,https://i.postimg.cc/tgSfkdHc/Love_Forever2.png"
CupidoinLove,Adorno 'Cupido in love',Silueta decorativa de un cupido tierno con un corazón. Un detalle sencillo y lleno de amor personalizable.,in stock,new,5.50 USD,https://ideasydtalles.github.io/catalogo/?p=CupidoinLove,https://i.postimg.cc/HxP0x1Jd/Cupido_Corazon1.png,Ideas & D'talles,CupidoinLove,amor,amor,false,0,,"https://i.postimg.cc/HxP0x1Jd/Cupido_Corazon1.png,https://i.postimg.cc/tTmdTG1H/Cupido_Corazon2.png,https://i.postimg.cc/XJDKJ6Z6/Cupido_Corazon3.png"
AeroLove,Adorno 'Amor en vuelo',Silueta decorativa de un globo aerostático del amor y su pareja. Un detalle sencillo y lleno de amor personalizable.,in stock,new,5.50 USD,https://ideasydtalles.github.io/catalogo/?p=AeroLove,https://i.postimg.cc/sX0PXCMq/Globo_Aero_Love1.png,Ideas & D'talles,AeroLove,amor,amor,false,0,,"https://i.postimg.cc/sX0PXCMq/Globo_Aero_Love1.png,https://i.postimg.cc/3RbjRQk6/Globo_Aero_Love2.png,https://i.postimg.cc/fLg7LQVP/Globo_Aero_Love3.png,https://i.postimg.cc/MTr0TJck/Globo_Aero_Love4.png"
SiluetaEnamorados,Silueta Enamorados,Adorno decorativo de mesa con silueta de enamorados y corazón.,in stock,new,2.00 USD,https://ideasydtalles.github.io/catalogo/?p=SiluetaEnamorados,https://i.postimg.cc/KzhcGy1z/Enamorados.png,Ideas & D'talles,SiluetaEnamorados,amor,amor,false,0,,https://i.postimg.cc/KzhcGy1z/Enamorados.png
TVAmor,Retro TV del Amor,Adorno con forma de televisión antigua que muestra un mensaje o escena romántica en la pantalla.,in stock,new,8.00 USD,https://ideasydtalles.github.io/catalogo/?p=TVAmor,https://i.postimg.cc/hGDWpPQz/Tele_Love4.png,Ideas & D'talles,TVAmor,amor,amor,false,0,,"https://i.postimg.cc/hGDWpPQz/Tele_Love4.png,https://i.postimg.cc/kG6dK16b/Tele_Love1.png,https://i.postimg.cc/1R2SsQ2G/Tele_Love2.jpg,https://i.postimg.cc/c12W0S2B/Tele_Love3.jpg,https://i.postimg.cc/5tscGd85/Tele_Love5.png,https://i.postimg.cc/rmHBV1n5/Tele_Love6.png"
TocadiscosAmor,Tocadiscos del amor,Decoración con forma de tocadiscos vintage. Pregunta por la opción de colocar bluetooth.,in stock,new,11.00 USD,https://ideasydtalles.github.io/catalogo/?p=TocadiscosAmor,https://i.postimg.cc/59htpL4y/Tocadiscos1.png,Ideas & D'talles,TocadiscosAmor,amor,amor,false,0,,"https://i.postimg.cc/59htpL4y/Tocadiscos1.png,https://i.postimg.cc/3J2xqNNq/Tocadiscos2.png,https://i.postimg.cc/HsbkNnnF/Tocadiscos3.png,https://i.postimg.cc/YqQCP0jB/Tocadiscos4.png,https://i.postimg.cc/3wzM7jby/Tocadiscos8.png,https://i.postimg.cc/CxYxp0n6/Tocadiscos5.jpg"
CestaSanValentin,Cesta Corazones,"Cesta de madera decorada con corazones, ideal para armar anchetas con peluches y dulces.",in stock,new,3.50 USD,https://ideasydtalles.github.io/catalogo/?p=CestaSanValentin,https://i.postimg.cc/7ZXQP1bx/Porta_Pelu_A1.png,Ideas & D'talles,CestaSanValentin,amor,amor,false,0,,"https://i.postimg.cc/7ZXQP1bx/Porta_Pelu_A1.png,https://i.postimg.cc/JnHTQ9xk/Porta_Pelu_A2.png,https://i.postimg.cc/JnHTQ9xR/Porta_Pelu_A3.png,https://i.postimg.cc/KcLq3hRv/Porta_Pelu_A4.png,https://i.postimg.cc/cL1XzKh5/Porta_Pelu_A5.png,https://i.postimg.cc/3xrnqy9M/Porta_Pelu_A6.png"
CestaOsito,Cesta Osito,"Cesta de madera decorada como un tierno oso rosado, ideal para armar anchetas.",in stock,new,3.50 USD,https://ideasydtalles.github.io/catalogo/?p=CestaOsito,https://i.postimg.cc/LsnvHrcS/Porta_Pelu_B1.png,Ideas & D'talles,CestaOsito,amor,amor,false,0,,"https://i.postimg.cc/LsnvHrcS/Porta_Pelu_B1.png,https://i.postimg.cc/TPF0htx5/Porta_Pelu_B2.png,https://i.postimg.cc/ZK4c99Gw/Porta_Pelu_B3.png,https://i.postimg.cc/CLSNZZ3m/Porta_Pelu_B4.png"
CajaMorat,Caja Fan Morat,"Caja organizadora de madera grabada con el logo y símbolos de la banda, incluye personajes e instrumentos.",in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaMorat,https://i.postimg.cc/3w8CMNTB/1766516996960_Editado.png,Ideas & D'talles,CajaMorat,fandom,fandom,false,0,,"https://i.postimg.cc/3w8CMNTB/1766516996960_Editado.png,https://i.postimg.cc/1tTpNKNB/1766516997088_Editado.png,https://i.postimg.cc/SN9GCHdw/1766516996946_Editado.png,https://i.postimg.cc/KjMvRcmN/1766516996811_Editado.png,https://i.postimg.cc/xjhRk9vn/1766516996901_Editado.png,https://i.postimg.cc/8c6PjkTy/1766516996825_Editado.png"
CajaBTS,Caja Fan BTS,"Caja de madera personalizada para ARMY con el logo de BTS símbolos de la banda, incluye personajes y decoraciones.",in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaBTS,https://i.postimg.cc/FHm0cz7d/1766516997341_Editado.png,Ideas & D'talles,CajaBTS,fandom,fandom,false,0,,"https://i.postimg.cc/FHm0cz7d/1766516997341_Editado.png,https://i.postimg.cc/wj6sMrG5/1766516997367_Editado.png,https://i.postimg.cc/fRZYXykP/1766516997308_Editado.png,https://i.postimg.cc/jjSNg1H9/1766516997234_Editado.png,https://i.postimg.cc/T2LjvBZH/1766516997109_Editado.png,https://i.postimg.cc/pVhQM3gs/1766516997128_Editado.png"
CuadroGokuEvo,Cuadro Goku Evolución,Silueta impactante de Goku adulto en negro mate con Goku niño superpuesto en naranja y blanco. Fondo naranja vibrante.,in stock,new,8.00 USD,https://ideasydtalles.github.io/catalogo/?p=CuadroGokuEvo,https://i.postimg.cc/T3bZR5g2/Goku_Evo1.png,Ideas & D'talles,CuadroGokuEvo,fandom,fandom,false,0,,"https://i.postimg.cc/T3bZR5g2/Goku_Evo1.png,https://i.postimg.cc/KcVqRvZB/Goku_Evo2.png,https://i.postimg.cc/DfDj8y2D/Goku_Evo3.png,https://i.postimg.cc/52WsS7Q2/Goku_Evo4.png,https://i.postimg.cc/rp8gvDJK/Goku_Evo5.png"
CuadroAnimeAmor,Cuadro Amor Anime (Goku y Bulma),Siluetas románticas estilo chibi de personajes de anime mirándose. Acabado brillante rojo y negro.,in stock,new,6.00 USD,https://ideasydtalles.github.io/catalogo/?p=CuadroAnimeAmor,https://i.postimg.cc/JzX91HZ3/Goku_Bulma_Love1.png,Ideas & D'talles,CuadroAnimeAmor,fandom,fandom,false,0,,"https://i.postimg.cc/JzX91HZ3/Goku_Bulma_Love1.png,https://i.postimg.cc/vHkJFtgD/Goku_Bulma_Love2.png,https://i.postimg.cc/gc5SnkYB/Goku_Bulma_Love3.png"
KitCuarentaQuito,Kit Viva Quito (Juego de 40),"Celebra las fiestas con este espectacular Kit para jugar cuarenta a todo color. Presentado en una hermosa caja de madera ilustrada con íconos de la ciudad como la Virgen del Panecillo, la mitad del mundo y la Chiva Quiteña. El set incluye baraja y un juego de fichas temáticas con frases tradicionales como '¡2 por shunsho!', '¡Marido tiene!', '¡2 de ronda!' y '¡38 que no juega!', también incluye monedas para llevar el marcador del juego. Perfecto para regalar o disfrutar en familia.",in stock,new,10.00 USD,https://ideasydtalles.github.io/catalogo/?p=KitCuarentaQuito,https://i.postimg.cc/bNYvTqF5/IMG_20251121_WA0012_Editada.png,Ideas & D'talles,KitCuarentaQuito,cultura,cultura,false,0,,"https://i.postimg.cc/bNYvTqF5/IMG_20251121_WA0012_Editada.png,https://i.postimg.cc/JhH0kKYv/IMG_20251122_173006_Editada.png,https://i.postimg.cc/DwMm0R5K/IMG_20251121_WA0011_Editada.png,https://i.postimg.cc/BnVtbRN9/IMG_20251121_WA0008_Editada.png,https://i.postimg.cc/QxNMbjyr/IMG_20251121_WA0014_Editada.png,https://i.postimg.cc/Bbpn0ztr/IMG_20251122_002246_Editada.png,https://i.postimg.cc/ZKYqcJDH/IMG_20251124_184944_405_Editada_Editada.png"
CajaPaseNino,Caja Pase del Niño Rey de Reyes Riobamba,"Hermosa caja cultural que rinde homenaje a la tradicional fiesta del Pase del Niño Rey de Reyes de Riobamba, incluye los personajes más importantes de la celebración.",in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaPaseNino,https://i.postimg.cc/JhphFdTr/1766516996504_Editado.png,Ideas & D'talles,CajaPaseNino,cultura,cultura,false,0,,"https://i.postimg.cc/JhphFdTr/1766516996504_Editado.png,https://i.postimg.cc/wjd3RNyL/1766516996413_Editado.png,https://i.postimg.cc/LXhsFBwF/1766516996712_Editado.png,https://i.postimg.cc/TwhPvqSS/1766516996731_Editado.png,https://i.postimg.cc/k5J4fdyD/1766516996490_Editado.png,https://i.postimg.cc/kgFGQ5Kv/1766516996428_Editado.png"
MamaNegra,Caja Mama Negra,Escena cultural de la Fiesta de la Mama Negra (Ecuador) en formato de caja expositora. Incluye figuras coloridas y detalladas con fondo escénico.,in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=MamaNegra,https://i.postimg.cc/2yFddq7g/image112.png,Ideas & D'talles,MamaNegra,cultura,cultura,false,0,,"https://i.postimg.cc/2yFddq7g/image112.png,https://i.postimg.cc/Kjr77KDW/image111.jpg,https://i.postimg.cc/FHzYC14Q/55e35b7f-66be-4d3b-ad7a-039628a62641.png"
DiabladaPillaro,Caja Diablada de Píllaro,"Escena cultural de la Diablada de Píllaro (Ecuador) en caja expositora. Figuras de diablos y personajes folclóricos detallados y coloridos, con fondo de callejón.",in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=DiabladaPillaro,https://i.postimg.cc/9XwsSr2P/image49.png,Ideas & D'talles,DiabladaPillaro,cultura,cultura,false,0,,"https://i.postimg.cc/9XwsSr2P/image49.png,https://i.postimg.cc/xjNB7cQK/image48.png,https://i.postimg.cc/BZPRyX31/image46.png,https://i.postimg.cc/SQYH5J4R/image44.png,https://i.postimg.cc/7PJjcf47/image47.png"
CajaDiabladaMiniatura,Caja Diablada Pillaro (Miniatura),Versión miniatura de la popular caja cultural 'Diablada de Píllaro'. Una escena folclórica detallada en formato compacto (10x10 cm).,in stock,new,10.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaDiabladaMiniatura,https://i.postimg.cc/j5Fdsc8N/IMG_20251115_190100_Editado.png,Ideas & D'talles,CajaDiabladaMiniatura,cultura,cultura,false,0,,"https://i.postimg.cc/j5Fdsc8N/IMG_20251115_190100_Editado.png,https://i.postimg.cc/3N0rWG6k/IMG_20251115_190112_Editado.png,https://i.postimg.cc/668CCmxh/IMG_20251115_190148_Editado.png,https://i.postimg.cc/G36GKxb7/IMG_20251115_190202_Editado.png"
CarnavalGuaranda,Caja Carnaval de Guaranda (Cultural),Escena cultural ecuatoriana del Carnaval de Guaranda en caja expositora.,in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=CarnavalGuaranda,https://i.postimg.cc/J0c33yQh/image119.png,Ideas & D'talles,CarnavalGuaranda,cultura,cultura,false,0,,"https://i.postimg.cc/J0c33yQh/image119.png,https://i.postimg.cc/ZnFPP9Lm/image117.jpg,https://i.postimg.cc/2yFddqxk/image118.png"
CajaSanPedro,Caja San Pedro / Inti Raymi,"Escena cultural de la Fiesta de las fiestas de San Pedro / Inti Raymi (Ecuador) en formato de caja expositora, un homenaje que incluye personajes y decoraciones para representar las fiestas del sol y la cosecha.",in stock,new,15.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaSanPedro,https://i.postimg.cc/WbyhBCwD/San_Pedro1.png,Ideas & D'talles,CajaSanPedro,cultura,cultura,false,0,,"https://i.postimg.cc/WbyhBCwD/San_Pedro1.png,https://i.postimg.cc/WzWhbHRJ/San_Pedro3.png,https://i.postimg.cc/rwtKMjft/San_Pedro4.png,https://i.postimg.cc/tRST6wfF/San_Pedro5.png,https://i.postimg.cc/3Rr84FFj/San_Pedro6.png,https://i.postimg.cc/bv9YwBkH/San_Pedro9.jpg"
RompecabezasDiablada,Puzzle Diablada (308pz),"Desafío cultural. Rompecabezas de madera de alta calidad con la imagen colorida de la Diablada, con todos sus personajes y decoraciones",in stock,new,13.00 USD,https://ideasydtalles.github.io/catalogo/?p=RompecabezasDiablada,https://i.postimg.cc/6pSnhTmn/Rompec_Pillaro1.png,Ideas & D'talles,RompecabezasDiablada,cultura,cultura,false,0,,"https://i.postimg.cc/6pSnhTmn/Rompec_Pillaro1.png,https://i.postimg.cc/RhRw1RkF/Rompec_Pillaro3.jpg,https://i.postimg.cc/xCVmWhYK/Rompec_Pillaro4.png,https://i.postimg.cc/xCVmWhYR/Rompec_Pillaro5.png,https://i.postimg.cc/QNb7yfz5/Rompec_Pillaro6.png"
CajaCamaraBaby,Caja de regalo 'Cámara' Recién nacido,"Tierna caja con forma de cámara para regalos de recién nacido. Detalles de osito, body y fecha de nacimiento. Un recuerdo para toda la vida.",in stock,new,14.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaCamaraBaby,https://i.postimg.cc/X7JHvBS9/Camara_Recien_Nac1.png,Ideas & D'talles,CajaCamaraBaby,infantil,infantil,false,0,,"https://i.postimg.cc/X7JHvBS9/Camara_Recien_Nac1.png,https://i.postimg.cc/Nj2d6hjb/Camara_Recien_Nac3.png,https://i.postimg.cc/SxYg60xt/Camara_Recien_Nac4.png,https://i.postimg.cc/cLtFRqLz/Camara_Recien_Nac2.png,https://i.postimg.cc/N0hpbNys/Camara_Recien_Nac5.png"
CuadroElefante,Cuadro 3D Elefante,Cuadro decorativo con capas en relieve. Elefante gris con alas rosas sobre nubes. Personalizable con nombre (Ej: Luna).,in stock,new,7.50 USD,https://ideasydtalles.github.io/catalogo/?p=CuadroElefante,https://i.postimg.cc/Kjy1HMPH/Cuadro_Elefante1.png,Ideas & D'talles,CuadroElefante,infantil,infantil,false,0,,"https://i.postimg.cc/Kjy1HMPH/Cuadro_Elefante1.png,https://i.postimg.cc/Px1xY5gr/Cuadro_Elefante2.png,https://i.postimg.cc/JnXyxqkR/Cuadro_Elefante3.png"
CuadroOso,Cuadro 3D Oso Vintage y globos,"Cuadro infantil con osito estilo vintage, boina y tirantes. Fondo azul con globos aerostáticos. Personalizable (Ej: Elian).",in stock,new,7.50 USD,https://ideasydtalles.github.io/catalogo/?p=CuadroOso,https://i.postimg.cc/CMjBfc07/Cuadro_Osito1.png,Ideas & D'talles,CuadroOso,infantil,infantil,false,0,,"https://i.postimg.cc/CMjBfc07/Cuadro_Osito1.png,https://i.postimg.cc/02P6G72N/Cuadro_Osito3.jpg"
OsitoLuna,Cuadro Osito en la Luna,Osito durmiendo en la luna.,in stock,new,6.00 USD,https://ideasydtalles.github.io/catalogo/?p=OsitoLuna,https://i.postimg.cc/dQTXRTNC/Osito_Luna1.png,Ideas & D'talles,OsitoLuna,infantil,infantil,false,0,,"https://i.postimg.cc/dQTXRTNC/Osito_Luna1.png,https://i.postimg.cc/02P6G72N/Cuadro_Osito3.jpg,https://i.postimg.cc/CLh1nYm1/Cuadro_Osito4.png,https://i.postimg.cc/HkPVCK0b/Cuadro_Osito2.png,https://i.postimg.cc/DyxzqDML/Cuadro_Osito5.png,https://i.postimg.cc/W4BzdkH4/Cuadro_Osito6.jpg"
CasaPequenaRosa,Casa de Cuento (Rosa),Pequeña casa organizadora pintada en rosa y blanco con techo curvo y lazo. Ideal para guardar joyas o dulces.,in stock,new,3.50 USD,https://ideasydtalles.github.io/catalogo/?p=CasaPequenaRosa,https://i.postimg.cc/VsMMWYqJ/Casa_Rosadapeque1.png,Ideas & D'talles,CasaPequenaRosa,infantil,infantil,false,0,,"https://i.postimg.cc/VsMMWYqJ/Casa_Rosadapeque1.png,https://i.postimg.cc/gkWhMfs7/Casa_Rosadapeque2.png,https://i.postimg.cc/3JTGLP1z/Casa_Rosadapeque3.png,https://i.postimg.cc/Kv2T9dQS/Casa_Rosadapeque4.png"
CasaPequenaLila,Casa de Cuento (Lila),Versión en lila de nuestra casa de cuento. Un detalle delicado para decoración infantil.,in stock,new,3.50 USD,https://ideasydtalles.github.io/catalogo/?p=CasaPequenaLila,https://i.postimg.cc/Mpt1fdy9/Casa_Morada_Peque1.png,Ideas & D'talles,CasaPequenaLila,infantil,infantil,false,0,,"https://i.postimg.cc/Mpt1fdy9/Casa_Morada_Peque1.png,https://i.postimg.cc/BnN2PMxr/Casa_Morada_Peque3.png,https://i.postimg.cc/1ztwGwBQ/Casa_Morada_Peque5.png,https://i.postimg.cc/TP4mC1Ng/Casa_Morada_Peque6.png,https://i.postimg.cc/GmzvTqkN/Casa_Morada_Peque2.png,https://i.postimg.cc/4xwpHB6G/Casa_Morada_Peque4.png"
CasaMedianaRosa,Casa Decorativa multiusos (Rosa),Casa de tamaño mediano multiusos con apertura pintada en rosa y blanco. Ideal para guardar joyas o dulces.,in stock,new,5.00 USD,https://ideasydtalles.github.io/catalogo/?p=CasaMedianaRosa,https://i.postimg.cc/yd3R5K2p/Casa_Rosada_Med1.png,Ideas & D'talles,CasaMedianaRosa,infantil,infantil,false,0,,"https://i.postimg.cc/yd3R5K2p/Casa_Rosada_Med1.png,https://i.postimg.cc/cJbYXCkb/Casa_Rosada_Med2.png,https://i.postimg.cc/yxFZ1P1t/Casa_Rosada_Med3.png,https://i.postimg.cc/WbvZ9Q8Q/Casa_Rosada_Med4.png,https://i.postimg.cc/ZnrdbcYZ/Casa_Rosada_Med5.png"
CasaJugueteria,Casa Juguetería Multiusos,Caja multiusos con diseño temático de tienda de juguetes ('Toy Store'). Ideal para guardar o entregar peluches y otros regalos.,in stock,new,13.00 USD,https://ideasydtalles.github.io/catalogo/?p=CasaJugueteria,https://i.postimg.cc/MTBTzrpz/40a9594a-472f-45cd-a01d-a88ad10aedad.png,Ideas & D'talles,CasaJugueteria,infantil,infantil,false,0,,"https://i.postimg.cc/MTBTzrpz/40a9594a-472f-45cd-a01d-a88ad10aedad.png,https://i.postimg.cc/4xFNVTKG/IMG-20251028-104013-Editado-Editado.png,https://i.postimg.cc/yxqD9CbS/IMG-20251028-104044-Editado-Editado.png,https://i.postimg.cc/PfZpHNCD/IMG-20251028-104558-Editado-Editado.png,https://i.postimg.cc/vZ8c5z34/IMG-20251028-104150-Editado-Editado.png,https://i.postimg.cc/SxQJcrDs/IMG-20251028-104346-Editado-Editado.png"
CajaCamaraXV,Caja de regalo 'Cámara' para XV Años,"aja única con forma de cámara retro, personalizada para 15 años. Detalles calados de vestido, pastel y zapatilla. Perfecta para lluvia de sobres.",in stock,new,14.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaCamaraXV,https://i.postimg.cc/13bY2mdN/Camara15años1.png,Ideas & D'talles,CajaCamaraXV,eventos,eventos,false,0,,"https://i.postimg.cc/13bY2mdN/Camara15años1.png,https://i.postimg.cc/tCMrnRpf/Camara15años4.png,https://i.postimg.cc/nhNwgFWB/Camara15años2.png,https://i.postimg.cc/d0dSYMM6/Camara15años3.png,https://i.postimg.cc/FsBPkFNb/Camara15años5.png"
CajaCamaraBoda,Caja de regalo 'Cámara' para Bodas,Elegante caja tipo cámara para bodas. Decorada en blanco y turquesa con anillos entrelazados en la parte superior y siluetas de novios.,in stock,new,14.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaCamaraBoda,https://i.postimg.cc/Wzf7ZSL4/Camara_Wedding1.png,Ideas & D'talles,CajaCamaraBoda,eventos,eventos,false,0,,"https://i.postimg.cc/Wzf7ZSL4/Camara_Wedding1.png,https://i.postimg.cc/Xqv8XmPH/Camara_Wedding2.png,https://i.postimg.cc/XY5gZw2M/Camara_Wedding3.png,https://i.postimg.cc/Pqzzydsy/Camara_Wedding4.png"
PortaretratoGrado1,Adorno de mesa de Grado,"Adorno de mesa decorativo de graduación con forma de estrella, incluye birrete y mensaje. Todo en relieve. Un recuerdo exclusivo.",in stock,new,2.50 USD,https://ideasydtalles.github.io/catalogo/?p=PortaretratoGrado1,https://i.postimg.cc/s2VKtMcf/Grado_A1.png,Ideas & D'talles,PortaretratoGrado1,eventos,eventos,false,0,,https://i.postimg.cc/s2VKtMcf/Grado_A1.png
